Marca;Puntos
9:46.67;942
9:47.33;941
9:48.00;939
9:48.67;938
9:49.33;937
9:50.00;935
9:50.67;934
9:51.33;932
9:52.00;931
9:52.67;930
9:53.33;928
9:54.00;927
9:54.67;925
9:55.33;924
9:56.00;923
9:56.67;921
9:57.33;920
9:58.00;918
9:58.67;917
9:59.33;916
